Well ID,X_54012,Y_54012,WTD
PO0120500RZ001,734191.1341663402,5624220.425511629,4.92374358974359
PO0120790RZ001,733551.188581412,5623852.476510844,40.3975935828877
PO012118NUP001,721231.5022902305,5622380.748250314,29.59939024390244
PO012119NUP001,743349.3504674371,5623785.765285707,41.91372881355932
PO0121300RZ001,736994.7235283178,5618883.659234338,32.24283950617284
PO012136NUZ001,731514.2749115708,5633289.759196797,36.69471590909091
PO015041NR0075,730483.534861531,5612036.880599287,16.813253012048193
PO015060NU0070,769680.5690572148,5611373.149196107,13.130144927536232
PO015062NR0071,717686.4957508306,5613713.630819912,25.187027027027025
PO015113NUP001,728447.5621127235,5609611.80514899,11.970819672131148
PO015140NR0109,766796.7191606266,5593108.250270753,8.193066666666667
PO015146NU1120,754247.7925610058,5604323.6263698,13.239328358208954
PO015146NU1313,760551.7441451814,5608133.7762299795,7.744778761061947
PO015146NU1353,760764.0604249102,5604180.4540825365,5.037349397590361
PO015146NU1378,756115.1070434112,5602027.19190914,8.793604651162791
PO015146NU1379,759862.5718695469,5599987.667579294,3.5214516129032254
PO015146NU1435,750404.8351783325,5602187.90921967,6.5835897435897435
PO015146NU1489,745820.1953947903,5603269.422472902,3.5007017543859646
PO015146NU1496,746165.6863760368,5608060.6600951245,5.942325581395349
PO015146NU1534,750329.360802753,5610306.992583488,14.93400966183575
PO015146NU1536,752304.8033760419,5606964.5088936975,14.474651162790696
PO015194NU0017,731994.5143130305,5615727.226225689,28.193918918918918
PO0152020U0025,770280.3921468641,5589961.453521355,14.264772727272726
PO0152020U0026,770280.5310158837,5589961.346512346,13.507297297297297
PO015211NUP001,743647.0941057312,5608548.085850484,6.084883720930232
PO015219NU0009,778872.1098735085,5617408.096795202,32.25325
PO015247NR0185,746117.6096842857,5597635.500964732,1.2995180722891566
PO0152490U0002,720799.7944046773,5616491.400221855,29.544727272727272
PO0160240R0296,794168.9441753232,5626980.022119584,51.63504201680672
PO0160280R0003,805805.0380665098,5622357.540867937,16.84094202898551
PO0160750U0003,789971.5010490606,5618131.702176857,6.783683760683761
PO0160760R1284,808702.2820398082,5611888.75306491,10.396929824561404
PO0160980R0009,783120.097737767,5623830.9535488235,38.965390070921984
PO0161150U0002,797618.8011934048,5629254.8466475615,46.26185792349727
PO016117NU0001,798977.4405974334,5623249.208466346,42.33659420289855
PO0161530R0004,786025.4272141316,5621422.199370908,24.95640625
PO0162130R0002,782632.3381899615,5628490.992765905,35.454237288135594
PO0170140RC626,858142.6703799848,5606199.907122137,54.542977099236644
PO0170290UB135,835643.2407597819,5610807.940827058,7.3625352112676055
PO017029NR0003,844337.9190311267,5609198.390256622,14.138666666666667
PO017029NU0001,837635.1683473932,5613024.9278540155,24.19244186046512
PO0170340RC481,848987.8690242333,5597851.473918919,6.854573643410853
PO0170400RC511,828314.2445293764,5615402.298308961,43.6698125
PO0170710RC478,850186.4188254578,5579048.990993886,4.218828125
PO0170750RC536,837437.9560092599,5629895.745285903,0.4128125
PO0170880RC541,841297.2946522807,5592942.532627356,1.5138541666666667
PO0170920RC540,859208.7501220744,5602193.750789109,34.51768181818182
PO0171430RC548,830542.645857721,5642850.141703136,2.80875
PO0171760RC555,847797.562023582,5667431.3875322705,11.010645161290322
PO018003NR0009,717445.7780720869,5586065.266301582,1.6254054054054055
PO018032NR0001,750818.5040153394,5560844.529056691,11.456825396825396
PO018043NUP001,760214.5680885041,5582998.735018107,2.1601694915254237
PO018047NR0001,741872.6115000016,5559322.963509457,5.671401869158879
PO018068NRP001,733384.9487365736,5583058.247131827,20.335257731958762
PO018072NUP001,754078.6440829836,5582644.0649252795,3.684833333333333
PO0181100U0111,752757.9530429427,5578533.300876113,4.614590163934427
PO018162NUP001,754835.2585351281,5571712.761616077,4.039354838709677
PO018173NUP001,748851.5556706798,5584697.056365581,2.0926984126984127
PO018176NUP001,759641.2115875487,5587153.487220959,4.184516129032258
PO019027NRA001,818808.5887252291,5586639.444031601,6.171345029239766
PO019033NRA001,831884.1701784099,5577692.350135643,1.231798941798942
PO019035NRA001,795709.0092921891,5593672.486446448,6.026902173913044
PO019036NUA001,828386.559042936,5570096.341373625,6.598021978021977
PO019040NRA001,844075.6911548966,5566454.963323257,2.1855851063829785
PO019047NRA001,812833.1867820736,5592341.895715964,2.5617486338797817
PO019051NRA001,813391.5818157541,5576178.579083775,1.6612173913043478
PO019065NRA001,819026.6442335895,5581695.556809161,3.7731782945736434
PO019070NRA001,845852.232234977,5574267.031962027,2.6445945945945946
PO019071NRA001,857755.2190489909,5569879.875679507,3.0896791443850264
PO019077NRA001,824769.4915887265,5579493.083882558,2.832328042328042
PO019084NRA002,782462.1676781062,5603905.633895053,3.078655462184874
PO019091NRA001,849554.1330317137,5562729.740183196,3.5357142857142856
PO019103NRA001,829472.1133212383,5561631.096828193,5.668142076502732
PO019110NRA001,808728.4817627751,5590296.250966187,2.474191616766467
PO020004NR0001,897864.8546271822,5574932.465079031,2.389225352112676
PO0200150R0002,858403.5950170011,5587823.934587988,1.346607142857143
PO0200170R0001,861452.1854954123,5598146.32110111,23.076211340206186
PO020017NU0005,864295.3971811746,5597618.616066072,35.43073170731707
PO020018NU0004,872199.4035377237,5591383.262584726,17.71965909090909
PO020023NUP001,936543.8748158786,5553635.129673916,5.86986301369863
PO0200240R0001,871179.646758975,5577384.830126299,1.8498850574712644
PO0200290R0002,917936.1599094853,5555836.512227119,2.2812380952380953
PO020030NU0004,888881.4100455968,5571644.6224844875,3.4763619631901843
PO020032NR0001,863247.4762760662,5574154.834036961,2.1012298850574713
PO020034NU0002,866608.648598914,5592518.623785626,19.73608695652174
PO0200370R0002,882610.6645089601,5559424.362182526,4.0039423076923075
PO0200400R0001,913744.0281838869,5558920.429044381,1.493131313131313
PO0200510R0002,878724.8907112462,5575452.009212426,8.708
PO020061NR0001,928014.0495731857,5558358.239463549,2.3978723404255318
PO020061NUP001,931324.0126303252,5556762.270948617,7.288783783783784
PO020063NU0002,868838.897580228,5593675.41218363,36.622093023255815
PO0200650R0002,884362.8952821955,5556193.397850131,2.8852499999999996
PO0200700R0002,875689.4791503219,5589236.476236541,1.2583760683760683
PO098024NR0087,786740.0360160915,5589385.333107724,3.3945205479452056
PO098025NR0110,785587.0497737438,5592577.486369851,2.480769230769231
PO098026NR0074,797791.2739723391,5571351.06122858,10.897897196261683
PO098049NR0141,795001.538721323,5566307.689740609,5.752083333333333
PO098052NR0037,788989.2191324839,5579303.2841442255,2.590098039215686
PO108033NU0243,761259.3284160787,5615739.281706858,24.036276595744678
PO1080520U0016,769597.7351401645,5615512.24224229,23.09
PO1080520U0018,769597.5836221515,5615512.2485694215,24.041935483870965
